"","lfdn","v_14","v_15","v_16","v_23","v_28","v_29","v_30","v_31","v_32","v_33","v_34","v_35","v_36","v_37","v_38","v_39","v_41","v_42","v_43","v_44","v_45","v_46","v_47","v_48","v_49","v_50","v_51","v_52","v_53","v_54","v_57","v_58","v_59","v_60","v_61","v_62","v_63","v_64","v_65","v_66","v_67","v_69","v_71","v_72","v_73","v_161","c_0031","c_0032","v_74","v_77","c_0013","v_173","v_174","v_175","v_176","v_167","v_182","v_183","v_184","v_185","v_186","v_187","v_96","v_99","v_100","v_101","v_102","v_103","v_104","v_105","v_106","v_107","v_108","v_111","v_112","v_113","v_114","v_115","v_116","v_117","v_118","v_119","v_120","v_121","v_124","v_125","v_126","v_127","v_128","v_129","v_130","v_131","v_132","v_133","v_134","v_135","v_140","v_142","v_144","v_145","v_146","v_147","v_148","v_149","v_150","v_151","v_152","v_153","v_154","v_155","v_156","v_157","date","education","casmin","eduyears","einwohner","city","qkm","distance_km","distance_km_raw"
"4075",4775,1,25,2,"2",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,3,2,4,1,2,1,5,2,1,6,1,5,2,5,3,2,3,2,2,2,1,4,1,6,6,3,4,10,4,"7","3",10,10,6,10,0,5,3,-5,1,2,4,1,2,3,1,6,2,1,0,5,3,4,2,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,1,NA,NA,-66,NA,NA,2,-66,5,7,0,1,-66,-66,1,1,1,2,1,1,743,0,NA,1,18698,5,5,0.277777777777778,32198,"48161 Münster",56.913972,0.120384066085896,7.47099108002068
"4076",4777,1,72,2,"7",2,NA,3,1,2,1,NA,NA,NA,NA,NA,NA,2,1,1,3,1,2,1,2,3,1,2,3,4,1,8,6,3,3,3,3,3,1,2,1,3,3,1,8,8,8,"7","11",9,5,8,10,0,6,0,-5,2,2,2,2,2,3,1,5,2,0,0,10,8,1,0,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,3,NA,NA,-66,NA,NA,1,20,4,3,0,1,-66,-66,1,1,1,2,1,0,-99,1,3,2,18698,4,6,0.388888888888889,9496,"35325 Mücke",86.945706,0.305121963522976,18.8636719677985
"4077",4778,1,37,1,"10",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,5,5,1,2,1,2,2,1,6,3,5,2,5,2,4,4,0,3,3,2,6,1,1,2,2,5,7,5,"7","3",10,10,3,9,1,5,0,-5,1,1,3,2,3,4,3,6,2,7,9,5,0,2,0,3,1,3,NA,NA,3,NA,-66,NA,NA,1,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,0,1,-66,-66,1,1,1,2,0,1,3300,0,NA,2,18698,5,8,0.555555555555556,25907,"50825 Köln",3.581378,0.0783350001821947,4.87784914154448
"4078",4779,1,52,1,"3",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,5,1,1,1,3,2,2,5,2,7,2,5,6,3,2,2,2,3,2,6,1,6,9,NA,6,7,7,"7","3",10,10,7,10,0,8,0,-5,1,1,4,1,2,3,2,6,2,7,3,2,0,8,2,0,1,2,NA,1,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,2,0,1,-66,-66,1,1,1,2,0,1,1500,0,NA,2,18698,3,4,0.277777777777778,14976,"12101 Berlin Tempelhof",2.338125,0.0165066206575267,1.06492820055094
"4079",4780,1,67,2,"4",2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,2,2,1,4,1,1,1,4,4,1,10,2,3,1,9,4,2,1,2,0,2,1,10,1,4,1,3,10,2,0,"8","7",10,10,7,10,0,7,0,-5,1,1,1,2,1,4,1,6,1,5,6,4,0,0,2,7,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,3,NA,NA,-66,NA,NA,1,50,5,4,0,2,0,-66,1,1,1,2,0,1,3500,0,NA,2,18698,5,8,0.555555555555556,21896,"16727 Velten, Oberkrämer",127.629452,0.180302570476338,11.1661311095629
"4080",4782,1,60,1,"12",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,5,1,2,1,4,4,1,7,2,4,1,2,4,2,3,2,2,2,2,4,1,1,1,2,5,2,5,"3","7",10,10,6,10,0,5,0,-5,1,1,2,1,2,2,1,6,2,10,0,0,0,0,3,0,1,2,NA,4,NA,NA,-66,NA,NA,2,1,100,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,7,2,2,0,-66,1,1,1,2,0,1,7800,0,NA,3,18698,3,3,0.111111111111111,36653,"66386 Sankt Ingbert",49.919615,0.141530639175743,8.77508819504145
"4081",4784,1,42,1,"10",2,NA,1,2,NA,3,0,0,0,0,0,1,2,2,3,4,1,1,1,2,4,1,1,3,6,2,3,7,3,3,3,2,2,1,4,1,5,5,2,7,6,7,"11","8",10,10,4,8,1,8,0,-4,1,1,5,1,3,5,2,6,2,4,3,8,6,10,3,0,1,2,NA,2,NA,NA,-66,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,3,1,3,0,-66,1,1,1,2,1,1,5500,0,NA,1,18698,5,6,0.388888888888889,23066,"50169 Kerpen",28.241514,0.147683488760871,9.15453092361171
"4082",4786,1,50,2,"11",2,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,3,3,2,3,4,1,1,1,9,4,3,1,5,2,1,2,1,2,2,2,4,0,NA,7,1,1,3,2,"7","3",10,10,1,10,5,10,0,-4,3,3,3,3,3,3,4,0,2,0,0,5,10,6,1,3,2,2,NA,2,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,2,0,1,-66,-66,1,1,1,2,0,1,1500,0,NA,2,18698,3,4,0.277777777777778,21646,"67655 Kaiserslautern",2.943252,0.0799484050161924,4.97734689848304
"4083",4788,1,74,2,"9",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1,2,3,1,1,5,2,4,1,5,2,0,2,0,0,0,1,5,1,1,6,2,8,2,2,"3","8",8,8,4,10,0,10,0,0,2,2,4,1,2,4,2,1,2,5,5,3,0,3,8,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,4,NA,NA,NA,1,5,0,NA,NA,-66,2,2,2,2,0,-66,1,1,1,2,0,1,2000,0,NA,2,18698,2,2,0.222222222222222,9669,"37619 Bodenwerder, Pegestorf, Kirchbrak, Hehlen",85.683274,0.223261371263476,13.8153758800149
"4084",4789,1,61,2,"1",2,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,3,1,1,3,2,4,1,3,3,4,2,1,5,0,4,0,2,3,2,7,1,4,9,NA,7,0,2,"11","7",10,10,1,10,0,4,0,-3,1,2,2,3,2,3,4,1,2,0,0,0,0,0,0,5,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,1,4,NA,NA,NA,-66,NA,NA,1,16,2,2,0,1,-66,-66,1,1,1,2,0,1,1800,0,NA,2,18698,2,2,0.222222222222222,26010,"71384 Weinstadt",31.701736,0.0862377831090077,5.36520926234062
"4085",4791,1,35,1,"10",2,NA,1,2,NA,3,1,1,1,1,0,0,2,1,1,4,2,2,1,4,3,2,5,3,6,2,1,5,0,1,0,1,1,2,6,1,4,4,2,5,1,1,"8","3",3,0,2,8,0,2,0,-4,2,2,2,3,3,2,3,1,2,0,0,0,0,0,3,8,1,2,NA,3,NA,NA,-66,NA,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,2,4,2,2,1,1,1,2,1,0,-99,1,6,4,18698,5,8,0.555555555555556,26498,"46047 Oberhausen",7.149938,0.0422317384287368,2.65138155762522
"4086",4793,1,41,1,"9",2,NA,1,2,NA,3,0,1,0,0,0,0,2,2,1,4,2,2,3,3,3,3,9,1,3,1,7,5,3,2,2,1,1,2,6,1,4,1,2,5,4,2,"3","8",7,7,6,8,8,10,0,5,2,2,2,2,2,2,3,5,1,9,8,8,0,0,0,5,4,2,NA,1,NA,NA,-66,NA,NA,NA,NA,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,2,2,3,5,3,3,1,2,2,NA,1,0,-99,1,3,2,18698,2,2,0.222222222222222,30368,"49377 Vechta",87.556365,0.194655421878887,12.0512632785843
"4087",4794,1,42,2,"10",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,4,2,1,1,5,5,1,5,3,6,2,6,5,3,3,2,2,3,1,3,1,8,5,2,8,10,8,"3","2",10,10,1,8,0,2,0,-3,1,1,4,1,2,3,1,6,1,3,1,3,8,10,1,0,1,2,NA,2,NA,NA,-66,NA,NA,1,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,0,2,0,-66,1,1,1,2,0,1,5000,0,NA,2,18698,5,8,0.555555555555556,21573,"44137 Dortmund",3.281158,0.0562571250508465,3.51631916019713
"4088",4796,1,59,2,"3",2,NA,4,1,2,1,NA,NA,NA,NA,NA,NA,2,2,1,4,1,1,2,4,4,1,3,4,5,1,3,7,3,3,3,3,3,1,3,1,1,7,2,7,10,5,"11","8",5,10,5,9,0,3,0,-3,1,1,4,1,3,4,2,6,1,5,5,7,9,9,0,0,1,3,NA,NA,3,NA,-66,NA,NA,1,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,3,2,0,-66,1,1,1,1,0,1,5000,0,NA,2,18698,5,8,0.555555555555556,6368,"13505 Berlin Tegel",10.459622,0.0787676240325953,4.90452880792823
"4089",4797,1,38,2,"4",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,3,1,3,3,2,3,2,10,2,6,2,8,5,2,2,2,2,2,2,6,1,1,1,3,5,5,6,"11","8",8,8,2,9,0,8,8,-2,1,2,2,2,2,3,3,4,2,8,6,1,0,0,6,2,1,2,NA,2,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,2,1,3,1,1,1,1,1,2,0,1,4300,0,NA,2,18698,3,4,0.277777777777778,12753,"15831 Blankenfelde-Mahlow",32.465116,0.148623507653398,9.212501353175
"4090",4798,1,49,1,"7",2,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,3,4,1,2,1,2,2,1,2,2,4,1,1,7,4,4,4,3,3,2,3,1,6,6,2,8,10,8,"11","8",9,9,3,10,0,8,0,-5,1,1,1,1,2,3,2,5,2,7,5,8,10,10,10,0,2,2,NA,1,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,2,0,1,-66,-66,1,1,1,2,0,1,1400,0,NA,2,18698,3,4,0.277777777777778,19430,"63450 Hanau",6.062906,0.0398150457230084,2.50234549527877
"4091",4799,1,55,1,"1",2,NA,2,2,NA,3,1,0,1,1,0,0,2,1,1,3,1,1,1,2,4,2,7,2,7,2,0,0,1,3,1,2,2,4,6,0,NA,9,NA,5,5,3,"11","8",5,5,5,10,0,10,0,0,1,1,1,3,1,3,4,6,2,0,0,0,0,0,0,0,2,1,3,NA,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,2,2,2,2,0,-66,1,1,1,2,0,1,4000,0,NA,2,18698,2,2,0.222222222222222,5848,"77756 Hausach",36.115852,0.411011224038074,25.3938023375142
"4092",4800,1,72,2,"13",2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,2,2,1,5,1,1,2,2,1,1,10,3,2,1,5,0,2,3,2,3,2,1,3,1,7,3,3,4,0,8,"3","8",10,10,6,10,0,5,0,-5,1,1,2,1,1,2,1,6,1,5,0,7,8,0,0,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,2,NA,NA,-66,NA,NA,1,50,4,3,3,2,0,-66,1,1,1,1,0,1,2700,0,NA,2,18698,4,6,0.388888888888889,25379,"02826 Görlitz",6.105046,0.355462456065249,21.9681414633605
"4093",4802,1,30,1,"1",2,NA,1,2,NA,2,1,1,0,0,0,0,2,2,2,2,2,2,2,5,5,2,10,3,6,2,6,2,0,2,0,0,2,2,6,1,4,9,NA,8,3,2,"11","8",1,1,8,10,0,0,0,-5,1,2,4,2,4,4,3,4,2,0,0,0,0,0,8,0,1,2,NA,3,NA,NA,-66,NA,NA,2,1,10,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,4,3,0,1,-66,-66,1,1,1,2,0,1,2800,0,NA,2,18698,4,6,0.388888888888889,6042,"74363 Güglingen",16.242695,0.177156813644548,10.9721340779179
"4094",4803,1,69,2,"13",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,4,1,1,1,3,5,2,4,3,3,1,0,3,3,3,3,2,2,1,5,1,3,5,3,7,4,4,"11","3",10,10,3,10,0,8,0,-5,1,2,2,1,2,4,2,6,2,3,0,5,0,10,0,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,2,NA,NA,-66,NA,NA,2,-66,5,5,3,1,-66,-66,1,1,1,1,0,1,998,0,NA,2,18698,5,8,0.555555555555556,25491,"01069 Dresden",5.351816,0.0589544667708645,3.68266268736606
"4095",4804,1,20,1,"9",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,3,1,2,1,5,3,1,3,3,7,2,8,3,3,3,3,1,3,2,4,2,NA,1,2,4,10,8,"11","8",10,10,4,10,0,3,0,-5,1,1,2,1,2,3,3,6,2,10,8,7,6,8,0,0,5,2,NA,2,NA,NA,-66,NA,NA,NA,NA,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,7,0,5,0,-66,1,1,1,2,0,0,-99,1,6,1,18698,5,5,0.277777777777778,13094,"49624 Löningen",143.623069,0.391656037044326,24.2001789824679
"4096",4805,1,66,2,"10",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,4,1,1,2,3,4,1,7,3,7,2,3,7,4,3,3,2,3,1,5,1,1,1,2,8,8,8,"3","8",10,10,2,10,0,2,0,-5,1,2,3,1,2,4,2,5,2,10,8,5,0,9,2,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,3,NA,NA,-66,NA,NA,1,12,5,5,3,2,0,-66,1,1,1,2,0,1,1900,0,NA,2,18698,5,8,0.555555555555556,22637,"51427 Bergisch Gladbach",12.198277,0.0723172796912644,4.50673974722889
"4097",4806,1,56,1,"10",2,NA,3,2,NA,3,0,1,1,1,0,0,2,1,1,4,1,2,2,4,5,1,4,3,5,1,2,4,2,3,2,2,3,2,7,1,3,3,3,6,3,4,"3","8",5,5,8,9,0,7,0,0,1,1,2,1,2,3,3,4,2,7,6,9,1,1,5,0,1,2,NA,3,NA,NA,-66,NA,NA,2,1,8,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,2,2,2,0,-66,1,1,1,2,0,1,3500,0,NA,3,18698,5,6,0.388888888888889,49061,"59192 Bergkamen",44.739938,0.153074665089277,9.48700169637338
"4098",4807,1,67,1,"2",2,NA,1,99,NA,3,1,1,1,1,0,1,2,1,1,5,1,1,1,4,5,3,0,1,6,2,5,5,2,2,2,2,2,1,5,0,NA,9,NA,9,10,6,"3","11",5,5,3,5,5,5,5,0,3,3,3,3,3,3,3,6,2,1,0,9,8,9,5,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,2,NA,NA,-66,NA,NA,2,-66,3,2,0,1,-66,-66,1,1,1,2,0,1,1250,0,NA,99,18698,3,4,0.277777777777778,1944,"87737 Boos",17.565557,0.183370843778101,11.3553497760544
"4099",4808,1,47,2,"10",2,NA,2,2,NA,2,0,0,1,0,0,0,2,2,2,4,2,3,1,5,3,2,6,2,4,1,6,3,1,3,1,2,1,2,7,1,4,4,3,3,3,3,"11","8",4,6,6,10,3,7,0,3,3,1,1,4,3,5,4,3,2,0,0,0,0,2,1,9,1,1,3,NA,NA,NA,-66,NA,NA,2,1,9,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,4,3,6,8,4,3,1,1,1,2,0,1,2900,0,NA,1,18698,4,6,0.388888888888889,17980,"59427 Unna",58.149415,0.0669308403907254,4.17456110427705
"4100",4809,1,67,2,"9",2,NA,1,2,NA,2,0,0,1,1,0,0,2,1,1,3,3,2,2,4,3,1,3,3,6,2,3,6,2,3,3,2,3,2,4,1,3,3,3,5,8,5,"8","3",4,0,1,10,0,6,0,-2,1,2,2,3,5,5,3,5,2,4,2,7,9,7,3,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,4,NA,NA,NA,1,2,0,NA,NA,-66,3,2,0,2,0,-66,1,1,1,2,0,1,1400,0,NA,3,18698,3,4,0.277777777777778,35107,"26871 Papenburg",118.552658,0.0576739235789761,3.60369231826153
"4101",4811,1,62,2,"11",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,1,1,2,5,1,2,2,10,2,6,1,1,2,2,3,1,2,3,1,7,1,1,2,3,3,2,2,"11","3",10,10,7,8,1,7,0,3,4,1,2,3,2,3,1,1,2,10,10,4,1,6,4,0,1,2,NA,3,NA,NA,-66,NA,NA,2,1,10,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,2,2,0,-66,1,1,1,2,0,1,4000,0,NA,3,18698,5,8,0.555555555555556,49582,"67346 Speyer",41.755465,0.0217290029040602,1.38698953844733
"4102",4812,1,62,1,"10",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,3,2,2,2,3,4,1,5,3,5,1,3,7,2,3,2,2,2,2,5,1,5,3,3,7,2,5,"8","11",8,7,6,7,0,7,0,-3,1,3,3,4,4,4,3,1,2,3,2,5,5,6,3,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,2,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,2,1,2,0,-66,1,1,1,2,0,1,3200,0,NA,1,18698,3,4,0.277777777777778,26889,"41065 Mönchengladbach",8.012088,0.089008197272191,5.53605912544939
"4103",4813,1,22,2,"7",2,NA,2,2,NA,3,1,1,1,1,1,1,2,2,4,1,3,4,3,5,1,1,4,1,4,2,4,0,0,2,0,0,2,1,2,1,1,9,NA,10,0,10,"11","3",0,0,4,10,5,6,5,4,1,2,3,1,5,4,3,0,2,10,9,5,10,6,7,0,1,4,NA,NA,NA,0,-99,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,2,7,0,1,-66,-66,1,1,1,2,0,1,2500,0,NA,1,18698,2,1,0.0555555555555556,12774,"36037 Fulda",3.562007,0.00198534404238985,0.169409344622901
"4104",4814,1,63,2,"2",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,5,1,1,1,3,2,1,4,3,4,1,1,3,2,4,3,3,3,1,4,1,3,3,2,7,8,4,"8","3",10,10,1,10,0,2,0,-3,1,1,5,1,3,5,3,6,2,6,6,10,8,9,0,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,1,4,NA,NA,NA,-66,NA,NA,1,6,5,4,3,2,0,-66,1,1,1,1,0,1,2200,0,NA,2,18698,5,8,0.555555555555556,5449,"83229 Aschau i. Chiemgau",79.581794,0.307557907819116,19.0138952647578
"4105",4815,1,61,2,"2",2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,2,1,2,1,2,2,4,2,4,1,10,3,2,1,3,1,0,3,0,2,2,2,7,1,4,4,2,5,0,0,"11","3",7,8,2,10,2,6,0,-5,1,1,4,2,2,4,3,0,2,7,9,3,1,0,2,10,12,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,2,1,1,3,NA,NA,NA,-66,NA,NA,2,-66,3,2,1,1,-66,-66,1,1,1,2,1,1,900,0,NA,2,18698,3,4,0.277777777777778,17628,"96050 Bamberg",16.217621,0.0105026047217944,0.694663958346776
"4106",4816,1,31,2,"14",2,NA,1,1,2,2,1,1,0,1,1,0,1,3,2,3,2,2,5,5,4,1,2,3,6,2,2,6,2,3,2,1,3,1,7,1,6,6,2,9,3,3,"11","3",3,0,8,10,0,2,0,-5,1,2,3,3,2,2,4,5,2,4,7,3,0,0,10,6,1,2,NA,2,NA,NA,-66,NA,NA,2,1,12,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,4,3,3,5,3,3,1,1,1,1,0,1,5500,0,NA,2,18698,4,6,0.388888888888889,8951,"06729 Elsteraue",80.342703,0.297171294435297,18.3733587347431
"4107",4817,1,65,2,"2",2,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,2,1,2,3,1,1,1,4,4,1,10,1,5,1,5,1,3,3,4,1,3,1,4,1,1,1,3,7,4,5,"11","8",10,10,2,10,6,10,0,0,1,1,4,2,1,4,1,6,2,10,10,0,7,0,0,0,12,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,2,1,2,NA,1,NA,NA,-66,NA,NA,2,-66,3,2,0,2,0,-66,3,NA,1,1,0,1,4000,0,NA,2,18698,3,4,0.277777777777778,5899,"94116 Hutthurm",37.385638,0.107941640519524,6.70367378392616
"4108",4818,1,68,1,"10",2,NA,2,2,NA,3,1,0,1,1,0,0,2,2,1,5,1,2,1,4,4,1,3,3,3,2,0,3,0,2,0,2,1,2,2,1,1,1,3,8,3,3,"8","11",5,5,5,9,0,10,0,5,3,2,2,2,3,4,3,3,2,4,5,0,8,0,0,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,2,NA,NA,-66,NA,NA,1,3,3,1,2,2,0,-66,1,1,1,2,0,1,3000,0,NA,2,18698,3,4,0.277777777777778,20824,"47179 Duisburg",8.745993,0.168035717952742,10.4096413029905
"4109",4819,1,53,1,"11",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,5,1,2,2,4,2,1,1,3,4,2,6,6,4,4,4,2,3,2,3,1,5,5,3,6,10,10,"8","3",10,10,7,10,0,0,0,-5,1,1,1,1,2,2,3,6,2,10,0,3,0,10,8,0,1,2,NA,3,NA,NA,-66,NA,NA,2,1,15,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,2,0,1,-66,-66,1,1,1,2,0,1,1800,0,NA,2,18698,3,4,0.277777777777778,15766,"54295 Trier",5.083967,0.0410928000967711,2.58114387955831
"4110",4820,1,68,2,"14",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,3,3,3,3,4,2,3,2,3,3,4,2,5,6,1,3,2,1,3,2,3,1,3,3,2,5,8,6,"11","8",9,9,8,9,0,7,0,0,1,2,2,1,2,3,2,1,1,1,1,9,8,4,2,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,3,NA,NA,-66,NA,NA,1,80,5,5,1,1,-66,-66,1,1,1,1,0,1,1040,0,NA,2,18698,5,8,0.555555555555556,24439,"06366 Köthen",26.936831,0.312239832556503,19.3026268959696
"4111",4821,1,71,1,"8",2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,2,1,1,4,1,1,1,5,5,1,10,3,3,1,0,3,3,2,3,1,3,2,2,1,2,1,2,7,10,9,"11","3",10,10,3,10,0,10,0,-5,1,1,3,1,1,3,1,3,2,10,10,6,3,3,2,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,2,NA,NA,-66,NA,NA,1,14,2,2,3,1,-66,-66,1,1,1,2,0,1,2550,0,NA,1,18698,2,2,0.222222222222222,3611,"18320 Ahrenshagen-Daskow, Trinwillershagen u.a.",114.456427,0.454148869988754,28.0540763873118
"4112",4822,1,53,2,"3",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,3,1,4,1,1,1,4,5,1,3,2,7,2,3,6,2,2,2,2,2,3,3,1,6,9,NA,5,5,7,"11","8",10,10,6,8,2,2,2,-5,2,2,3,3,2,3,2,6,2,5,5,5,5,5,5,0,1,1,3,NA,NA,NA,-66,NA,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,0,1,-66,-66,1,1,1,1,0,0,-99,1,5,2,18698,5,8,0.555555555555556,22534,"12105 Berlin Mariendorf",3.427536,0.0646726500052168,4.03529978971808
"4113",4823,1,64,1,"10",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,5,1,2,1,5,3,1,10,3,4,1,2,5,1,3,1,2,2,2,4,1,3,3,3,5,5,6,"11","8",10,10,7,10,0,10,0,-1,1,1,1,1,3,2,1,6,1,2,0,10,6,6,0,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,3,NA,NA,-66,NA,NA,1,25,5,4,0,2,0,-66,1,1,1,2,0,1,3400,0,NA,1,18698,5,8,0.555555555555556,30941,"45739 Oer-Erkenschwick",38.668891,0.100245465295879,6.22905504247776
"4114",4824,1,69,1,"7",2,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,2,2,2,5,1,1,1,2,3,1,8,3,4,1,0,7,3,3,3,2,3,3,6,1,1,1,2,3,5,6,"11","8",10,10,1,10,4,8,3,-5,1,1,2,2,3,2,1,5,2,10,7,5,2,5,7,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,3,NA,NA,4,NA,-66,NA,NA,1,50,5,5,1,2,0,-66,1,1,1,2,0,0,-99,1,5,2,18698,5,8,0.555555555555556,17445,"65195 Wiesbaden",11.966562,0.074872650933381,4.66432803590774
"4115",4825,1,65,2,"9",2,NA,1,99,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,5,1,1,4,1,1,1,5,3,3,1,1,2,1,3,2,1,3,2,3,1,5,5,2,7,8,4,"11","8",10,10,8,10,0,10,0,-2,1,1,2,3,2,4,3,2,2,2,2,8,8,10,0,0,3,2,NA,3,NA,NA,-66,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,2,1,1,-66,-66,1,1,1,2,0,0,-99,1,3,99,18698,3,4,0.277777777777778,13905,"38239 Salzgitter",57.771198,0.0803598438928133,5.0027200996031
"4116",4827,1,65,1,"1",2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,2,2,1,5,1,1,2,3,4,1,8,1,3,1,3,4,3,3,3,2,3,2,6,1,1,1,3,5,5,3,"11","8",3,10,8,10,0,5,0,-5,1,2,3,2,3,3,2,1,2,9,0,0,4,5,1,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,2,NA,NA,-66,NA,NA,2,-66,3,2,2,1,-66,-66,1,1,1,2,0,1,1400,0,NA,2,18698,3,4,0.277777777777778,11011,"73642 Welzheim",38.306295,0.241733765644908,14.9545579175961
"4117",4828,1,31,1,"10",2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,2,2,3,5,1,1,2,3,4,1,3,3,6,2,3,7,3,4,3,3,3,1,2,1,5,5,2,6,10,10,"11","8",10,10,2,10,0,10,3,-1,1,1,1,1,3,3,2,3,2,0,0,6,8,10,0,0,1,3,NA,NA,3,NA,-66,NA,NA,1,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,5,0,2,0,-66,1,1,1,2,0,1,2000,0,NA,1,18698,5,8,0.555555555555556,15618,"50931 Köln",2.414659,0.0712734946751842,4.44237011994278
