"","lfdn","v_14","v_15","v_16","v_23","v_28","v_29","v_30","v_31","v_32","v_33","v_34","v_35","v_36","v_37","v_38","v_39","v_41","v_42","v_43","v_44","v_45","v_46","v_47","v_48","v_49","v_50","v_51","v_52","v_53","v_54","v_57","v_58","v_59","v_60","v_61","v_62","v_63","v_64","v_65","v_66","v_67","v_69","v_71","v_72","v_73","v_161","c_0031","c_0032","v_74","v_77","c_0013","v_173","v_174","v_175","v_176","v_167","v_182","v_183","v_184","v_185","v_186","v_187","v_96","v_99","v_100","v_101","v_102","v_103","v_104","v_105","v_106","v_107","v_108","v_111","v_112","v_113","v_114","v_115","v_116","v_117","v_118","v_119","v_120","v_121","v_124","v_125","v_126","v_127","v_128","v_129","v_130","v_131","v_132","v_133","v_134","v_135","v_140","v_142","v_144","v_145","v_146","v_147","v_148","v_149","v_150","v_151","v_152","v_153","v_154","v_155","v_156","v_157","date","education","casmin","eduyears","einwohner","city","qkm","distance_km","distance_km_raw"
"11",54,1,27,1,"7",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,4,3,2,3,4,1,1,1,5,3,6,2,6,3,1,1,1,0,1,3,6,1,3,3,3,5,5,2,"2","1",10,10,4,8,0,6,0,-2,2,3,3,2,3,4,4,6,1,2,2,10,0,0,4,0,11,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,1,NA,NA,-66,NA,NA,2,-66,4,2,2,4,2,2,1,1,1,2,0,1,2400,0,NA,1,18691,4,6,0.388888888888889,16475,"34132 Kassel",14.27493,0.0802851069208662,4.99811111312157
"12",55,1,73,2,"9",2,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,2,2,1,5,1,1,2,3,5,2,1,3,5,1,1,5,3,4,3,3,3,1,2,1,3,3,2,10,10,10,"10","9",10,10,3,10,5,0,0,-5,1,1,5,1,4,4,1,5,2,0,0,10,0,9,0,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,3,NA,NA,-66,NA,NA,1,45,5,2,2,2,0,-66,1,1,1,2,0,1,3500,0,NA,3,18691,5,6,0.388888888888889,21297,"37115 Duderstadt",95.464144,0.261781776377193,16.1909073178888
"13",56,1,49,2,"2",2,NA,4,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,2,4,3,1,7,1,4,2,3,2,0,3,2,3,0,1,9,1,2,2,2,3,0,0,"6","11",0,0,8,4,6,1,0,0,1,1,3,2,2,3,1,6,2,10,10,0,5,0,0,0,1,2,NA,2,NA,NA,-66,NA,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,2,2,1,2,1,1,1,2,2,NA,0,1,1340,0,NA,2,18691,2,2,0.222222222222222,28664,"86316 Friedberg",81.2603,0.105554377754562,6.55645264926028
"14",57,1,43,1,"7",2,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,2,3,3,3,2,1,2,2,2,2,5,2,6,2,7,5,2,3,2,2,3,2,6,0,NA,9,NA,5,5,7,"9","11",10,10,2,10,0,9,0,-5,1,1,2,2,1,3,3,5,2,5,5,5,5,5,5,5,2,4,NA,NA,NA,1,0,0,NA,2,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,5,3,1,1,-66,-66,1,1,2,NA,1,0,-99,1,2,2,18691,5,6,0.388888888888889,9656,"35392 Gießen",6.875986,0.0579438788004119,3.62034030297108
"15",58,1,68,1,"2",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,4,1,2,2,3,3,1,7,3,6,1,3,6,3,3,3,2,3,1,8,1,1,2,2,7,4,4,"4","9",10,10,1,10,0,9,0,0,1,1,3,1,1,3,1,4,2,10,10,2,0,6,2,0,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,2,NA,NA,-66,NA,NA,2,-66,6,6,2,2,0,-66,1,1,1,2,0,1,2900,0,NA,2,18691,6,NA,NA,22650,"93053 Regensburg",15.090711,0.0648478237374671,4.0461026539876
"16",59,1,35,2,"10",2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,4,2,1,1,1,5,1,1,10,1,5,2,7,6,0,1,3,1,2,2,7,1,6,6,3,8,6,4,"3","11",10,8,7,6,8,6,5,3,3,1,2,3,2,2,2,6,2,4,5,6,5,3,8,5,1,2,NA,3,NA,NA,-66,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,4,5,0,2,0,-66,3,NA,2,NA,0,1,4000,0,NA,1,18691,4,7,0.444444444444444,40296,"40789 Monheim am Rhein",23.216197,0.150142530248965,9.30617861124007
"17",61,1,61,1,"10",2,NA,1,99,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,4,1,1,1,2,1,1,5,3,4,2,4,4,3,4,3,3,4,2,4,0,NA,9,NA,5,6,5,"9","1",10,10,3,10,4,4,0,-5,1,1,2,1,1,3,1,5,2,8,8,8,8,8,7,1,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,1,3,NA,NA,NA,-66,NA,NA,1,2,4,1,0,2,0,-66,3,NA,2,NA,0,1,1300,0,NA,99,18691,4,6,0.388888888888889,30076,"44145 Dortmund",8.693721,0.0788402277131196,4.90900623554306
"18",62,1,57,1,"13",2,NA,4,2,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,4,1,2,1,4,4,1,7,3,4,2,2,5,2,2,2,2,2,2,3,1,3,5,3,5,5,6,"9","3",10,10,2,10,4,3,0,-3,1,1,3,1,2,2,2,3,2,6,3,8,7,7,1,0,1,2,NA,2,NA,NA,-66,NA,NA,1,2,-66,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,3,4,3,2,0,-66,1,1,1,1,0,1,4200,0,NA,2,18691,3,NA,NA,17627,"04317 Leipzig",2.131833,0.1159469636217,7.19735749891872
"19",65,1,63,2,"2",2,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,3,3,2,2,4,5,3,3,4,1,2,2,8,5,1,2,1,2,2,1,2,1,7,7,2,8,10,5,"7","9",8,8,4,9,0,8,0,2,1,2,1,2,3,3,3,1,2,0,2,8,10,3,2,0,2,2,NA,2,NA,NA,-66,NA,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,-66,6,4,0,1,-66,-66,1,1,1,2,1,1,1995,0,NA,2,18691,6,NA,NA,25433,"81539 München",1.899446,0.136626741828803,8.47266763945874
"20",66,1,74,2,"1",2,NA,1,2,NA,2,1,1,1,1,1,0,2,1,5,1,4,2,1,5,5,5,10,3,7,1,8,0,0,0,0,0,0,1,11,1,4,4,1,0,0,0,"9","3",0,0,8,0,0,10,0,5,1,5,1,5,5,1,4,0,2,0,0,0,0,0,10,10,13,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,NA,1,2,NA,3,NA,NA,-66,NA,NA,1,5,5,5,0,2,0,-66,1,1,1,2,0,0,-99,1,4,2,18691,5,8,0.555555555555556,24947,"70327 Stuttgart",10.107982,0.0979698634379268,6.08871997233273
